index_column,time,dt,yaw,pitch,roll,displacement_north,displacement_east,altitude_geometric,geodetic_lat
994,3.01510200000001,0.000100999999972373,-84.7786900292799,-84.7786900292799,-84.7786900292799,-0.329386106156521,0.126897422299427,0.0113863640954855,-36.4823
995,3.01520299999999,5.10000000417676e-05,-84.6382933921404,-84.6382933921404,-84.6382933921404,-0.329386106156521,0.126897422299427,0.0113863640954855,-36.4823
996,3.01525400000003,0.000335999999947489,-84.6411393318133,-84.6411393318133,-84.6411393318133,-0.329749474406691,0.127101688730801,0.0115221123950455,-36.4823
997,3.01558999999997,0.000191000000029362,-84.6411393298633,-84.6411393298633,-84.6411393298633,-0.32974946357677,0.127101683468312,0.0105460854863802,-36.4823
998,3.015781,9.00000000001455e-05,-84.6411393298633,-84.6411393298633,-84.6411393298633,-0.32974946357677,0.127101683468312,0.0105460854863802,-36.4823
999,3.015871,9.99999999748979e-05,-84.709175819985,-84.709175819985,-84.709175819985,-0.329754504923298,0.127089193459008,0.0105435815785785,-36.4823
1000,3.01597099999998,5.30000000367181e-05,-84.7077389652453,-84.7077389652453,-84.7077389652453,-0.329754504923298,0.127089193459008,0.0105435815785785,-36.4823
1001,3.01602400000002,0.000232999999980166,-84.71048221491,-84.71048221491,-84.71048221491,-0.330112336098832,0.127290927651269,0.0106776137020733,-36.4823
1002,3.016257,9.49999999875217e-05,-84.7104822130671,-84.7104822130671,-84.7104822130671,-0.330112325296238,0.127290922402238,0.00970278694642733,-36.4823
1003,3.01635199999998,9.80000000367909e-05,-84.7473292348618,-84.7473292348618,-84.7473292348618,-0.330112499363984,0.127286802033218,0.0097018507160964,-36.4823
1004,3.01645000000002,5.09999999849242e-05,-84.7464315417117,-84.7464315417117,-84.7464315417117,-0.330112499363984,0.127286802033218,0.0097018507160964,-36.4823
1005,3.01650100000001,0.000232999999980166,-84.7491533836844,-84.7491533836844,-84.7491533836844,-0.33046301167591,0.127484732292597,0.00983326254324482,-36.4823
1006,3.01673399999999,9.09999999976208e-05,-84.7491533818681,-84.7491533818681,-84.7491533818681,-0.330463000901548,0.127484727057466,0.00885974222855302,-36.4823
1007,3.01682499999998,0.000100000000031741,-84.7689808965065,-84.7689808965065,-84.7689808965065,-0.330462213935038,0.127483218656328,0.00885931328357891,-36.4823
1008,3.01692500000001,5.09999999849242e-05,-84.7680989264084,-84.7680989264084,-84.7680989264084,-0.330462213935038,0.127483218656328,0.00885931328357891,-36.4823
1009,3.016976,0.000234999999975116,-84.7708229026455,-84.7708229026455,-84.7708229026455,-0.330805201202616,0.127677070269187,0.00898790149480464,-36.4823
1010,3.01721099999997,9.50000000443652e-05,-84.7708229008382,-84.7708229008382,-84.7708229008382,-0.330805190456379,0.127677065047896,0.00801568710577114,-36.4823
1011,3.01730600000002,9.29999999925712e-05,-84.7814746370082,-84.7814746370082,-84.7814746370082,-0.330804544742909,0.127676486436468,0.00801549385139242,-36.4823
1012,3.01739900000001,5.59999999723004e-05,-84.7805784245783,-84.7805784245783,-84.7805784245783,-0.330804544742909,0.127676486436468,0.00801549385139242,-36.4823
1013,3.01745499999998,0.000228999999990265,-84.7833049812391,-84.7833049812391,-84.7833049812391,-0.331140167685065,0.12786626393883,0.00814125319030026,-36.4823
1014,3.01768399999997,9.40000000468899e-05,-84.7833049794447,-84.7833049794447,-84.7833049794447,-0.331140156966887,0.12786625873134,0.00717034768050249,-36.4823
1015,3.01777800000002,9.79999999799475e-05,-84.7890079922192,-84.7890079922192,-84.7890079922192,-0.331139877612018,0.127866093254814,0.0071703057699944,-36.4823
1016,3.017876,5.39999999773499e-05,-84.7881291337926,-84.7881291337926,-84.7881291337926,-0.331139877612018,0.127866093254814,0.0071703057699944,-36.4823
1017,3.01792999999998,0.00023700000002691,-84.7908523949712,-84.7908523949712,-84.7908523949712,-0.331468390681796,0.128051893307616,0.007293298615538,-36.4823
1018,3.01816700000001,9.49999999875217e-05,-84.7908523931986,-84.7908523931986,-84.7908523931986,-0.331468379991611,0.128051888113892,0.00632370480394598,-36.4823
1019,3.01826199999999,9.29999999925712e-05,-84.7938657566958,-84.7938657566958,-84.7938657566958,-0.331468430313257,0.128051945324687,0.00632376874754949,-36.4823
1020,3.01835499999999,5.60000000291438e-05,-84.7929651096014,-84.7929651096014,-84.7929651096014,-0.331468430313257,0.128051945324687,0.00632376874754949,-36.4823
1021,3.01841100000001,0.000228999999990265,-84.7956790519825,-84.7956790519825,-84.7956790519825,-0.331790082577758,0.128233882549549,0.00644407361483715,-36.4823
1022,3.01864,9.49999999875217e-05,-84.7956790502398,-84.7956790502398,-84.7956790502398,-0.331790071915439,0.128233877369525,0.00547578779526233,-36.4823
1023,3.01873499999999,9.79999999799475e-05,-84.7972369390443,-84.7972369390443,-84.7972369390443,-0.331790361441666,0.128234066950961,0.00547592408386427,-36.4823
1024,3.01883299999997,5.10000000417676e-05,-84.7963572720644,-84.7963572720644,-84.7963572720644,-0.331790361441666,0.128234066950961,0.00547592408386427,-36.4823
1025,3.01888400000001,0.000239999999962492,-84.799057384273,-84.799057384273,-84.799057384273,-0.332105373610756,0.128412252419715,0.00559361758263163,-36.4823
1026,3.01912399999998,9.00000000001455e-05,-84.7990573825659,-84.7990573825659,-84.7990573825659,-0.332105362976272,0.128412247253373,0.00462664537403194,-36.4823
1027,3.01921399999998,9.80000000367909e-05,-84.7998060230944,-84.7998060230944,-84.7998060230944,-0.332105808248286,0.128412516636866,0.00462682821665688,-36.4823
1028,3.01931200000001,5.09999999849242e-05,-84.7989156948763,-84.7989156948763,-84.7989156948763,-0.332105808248286,0.128412516636866,0.00462682821665688,-36.4823
1029,3.019363,0.000235999999972591,-84.8015991623907,-84.8015991623907,-84.8015991623907,-0.332414369862922,0.128587049706118,0.00474198118404482,-36.4823
1030,3.01959899999997,0.0948040000000105,-84.801599160723,-84.801599160723,-84.801599160723,-0.332414359256141,0.128587044553388,0.00377631804578081,-36.4823
1031,3.11440299999998,9.50000000443652e-05,-84.801599160723,-84.801599160723,-84.801599160723,-0.332414359256141,0.128587044553388,0.00377631804578081,-36.4823
1032,3.11449800000003,9.29999999925712e-05,-84.9069490187417,-84.9069490187417,-84.9069490187417,-0.33240759986428,0.128547190391665,0.00377986306485925,-36.4823
1033,3.11459100000002,5.59999999723004e-05,-84.7336678449982,-84.7336678449982,-84.7336678449982,-0.33240759986428,0.128547190391665,0.00377986306485925,-36.4823
1034,3.11464699999999,0.000337999999999283,-84.736711040392,-84.736711040392,-84.736711040392,-0.332731557887496,0.128725242447728,0.00390251841413738,-36.4823
1035,3.11498499999999,0.000194000000021788,-84.7367110384409,-84.7367110384409,-84.7367110384409,-0.332731545711871,0.128725236528619,0.00278737832599583,-36.4823
1036,3.11517900000001,9.09999999976208e-05,-84.7367110384409,-84.7367110384409,-84.7367110384409,-0.332731545711871,0.128725236528619,0.00278737832599583,-36.4823
1037,3.11527000000001,9.79999999799475e-05,-84.8722883620711,-84.8722883620711,-84.8722883620711,-0.332744548264598,0.128702180545846,0.00279254119699926,-36.4823
1038,3.11536799999999,5.09999999849242e-05,-84.8708846431899,-84.8708846431899,-84.8708846431899,-0.332744548264598,0.128702180545846,0.00279254119699926,-36.4823
1039,3.11541899999997,0.000234000000034484,-84.873806689304,-84.873806689304,-84.873806689304,-0.333066314216203,0.128880045576906,0.00291502985914094,-36.4823
1040,3.11565300000001,9.39999999900465e-05,-84.8738066874768,-84.8738066874768,-84.8738066874768,-0.333066302069795,0.12888003967214,0.00180121817781292,-36.4823
1041,3.115747,9.39999999900465e-05,-84.9465837654688,-84.9465837654688,-84.9465837654688,-0.333067718662514,0.128872469354531,0.00180228868874667,-36.4823
1042,3.11584099999999,5.70000000266191e-05,-84.9457169424279,-84.9457169424279,-84.9457169424279,-0.333067718662514,0.128872469354531,0.00180228868874667,-36.4823
1043,3.11589800000002,0.000237999999967542,-84.9485543165055,-84.9485543165055,-84.9485543165055,-0.333383254712042,0.129047443608804,0.00192269251840331,-36.4823
1044,3.11613599999998,9.00000000001455e-05,-84.948554314763,-84.948554314763,-84.948554314763,-0.333383242597479,0.129047437719669,0.000810480692982386,-36.4823
1045,3.11622599999998,9.80000000367909e-05,-84.9874001335507,-84.9874001335507,-84.9874001335507,-0.333381771026946,0.129044473690514,0.000810333263073139,-36.4823
1046,3.11632400000002,5.09999999849242e-05,-84.9865301135173,-84.9865301135173,-84.9865301135173,-0.333381771026946,0.129044473690514,0.000810333263073139,-36.4823
1047,3.11637500000001,0.000233999999977641,-84.9893106746297,-84.9893106746297,-84.9893106746297,-0.333690192561005,0.129215794359003,0.000928108231774198,-36.4823
1048,3.11660899999998,9.50000000443652e-05,-84.9893106729522,-84.9893106729522,-84.9893106729522,-0.333690180478134,0.129215788485425,0.000182508239800117,-36.4823
1049,3.11670400000003,9.29999999925712e-05,-85.0099484999964,-85.0099484999964,-85.0099484999964,-0.333688528726709,0.12921440842495,0.000182875817591979,-36.4823
1050,3.11679700000002,5.59999999723004e-05,-85.0090806931928,-85.0090806931928,-85.0090806931928,-0.333688528726709,0.12921440842495,0.000182875817591979,-36.4823
1051,3.11685299999999,0.000232999999980166,-85.0118211427474,-85.0118211427474,-85.0118211427474,-0.333989844566196,0.129381934567847,6.7834909753332e-05,-36.4823
1052,3.11708599999997,9.70000000393156e-05,-85.0118211411249,-85.0118211411249,-85.0118211411249,-0.333989832515013,0.129381928709822,0.00117684612451672,-36.4823
